City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Predicted Price,,R2 in the sample,Your equation
Sant Andreu,103,4,2,1,0,1,0,0,0,0,,,,
Sant Andreu,46,1,1,0,1,1,0,0,0,0,,,,
Nou Barris,80,3,1,0,0,0,0,0,0,0,,,,
Nou Barris,68,3,1,0,0,0,0,1,0,0,,,,
Nou Barris,78,3,1,1,0,0,0,0,0,0,,,,
Les Corts,80,3,1,1,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,150,5,3,1,0,0,0,0,0,0,,,,
Eixample,118,4,2,1,0,1,0,0,0,0,,,,
Sant Marti,100,4,2,0,0,0,0,0,0,0,,,,
Nou Barris,65,3,1,0,0,0,0,1,0,0,,,,
Sarria - Sant Gervasi,220,5,2,0,0,1,0,0,0,0,,,,
Horta - Guinardó,80,3,2,0,0,0,1,0,0,0,,,,
Nou Barris,100,3,1,0,1,1,0,1,0,0,,,,
Ciutat Vella,90,2,1,0,0,0,0,0,0,0,,,,
Sant Andreu,75,2,1,0,1,1,0,0,0,0,,,,
Horta - Guinardó,75,3,1,1,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,150,5,2,0,0,0,0,0,0,0,,,,
Ciutat Vella,55,2,1,0,0,0,0,0,0,0,,,,
Gràcia,190,5,3,0,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,150,4,1,0,0,0,0,0,0,0,,,,
Gràcia,50,4,1,0,0,1,0,0,0,0,,,,
Sant Marti,90,4,2,0,0,0,0,0,0,0,,,,
Sants - Montjuïc,90,3,2,0,0,0,0,0,0,0,,,,
Sant Andreu,115,4,1,0,0,0,0,0,0,0,,,,
Sant Andreu,90,4,1,1,0,0,0,0,0,0,,,,
Nou Barris,70,3,1,0,1,1,0,0,0,0,,,,
Gràcia,90,3,0,0,1,0,0,0,0,0,,,,
Horta - Guinardó,37,2,1,0,1,0,0,0,0,0,,,,
Nou Barris,130,3,1,0,0,0,0,1,1,0,,,,
Nou Barris,86,3,1,1,0,0,0,0,0,0,,,,
Nou Barris,62,3,1,0,0,0,0,0,0,0,,,,
Sant Andreu,68,3,1,1,0,0,1,0,0,0,,,,
Sant Marti,77,3,2,0,0,1,0,1,0,0,,,,
Ciutat Vella,115,4,2,0,0,1,0,0,1,0,,,,
Gràcia,100,3,2,0,0,0,0,1,0,0,,,,
Horta - Guinardó,65,3,1,0,0,0,1,0,0,0,,,,
Ciutat Vella,80,3,1,0,0,0,0,0,0,0,,,,
Nou Barris,65,3,1,1,0,0,0,0,0,0,,,,
Gràcia,60,2,1,0,0,0,0,0,0,0,,,,
Les Corts,100,4,2,0,0,1,0,0,0,0,,,,
Gràcia,130,3,3,1,0,0,1,1,0,0,,,,
Gràcia,80,3,1,1,0,0,0,1,0,0,,,,
Eixample,110,3,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,60,2,1,0,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,115,4,2,0,0,0,0,0,0,0,,,,
Gràcia,105,3,2,1,0,0,1,0,0,0,,,,
Horta - Guinardó,60,3,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,70,3,1,0,0,0,0,0,0,0,,,,
Eixample,130,4,2,0,0,0,0,0,0,0,,,,
Ciutat Vella,90,1,1,0,0,0,0,0,0,0,,,,
Eixample,100,4,2,0,0,0,0,0,0,0,,,,
Eixample,180,4,3,1,0,1,1,1,1,0,,,,
Nou Barris,75,3,1,1,0,0,0,0,0,0,,,,
Eixample,85,3,2,0,0,0,0,0,0,0,,,,
Nou Barris,75,3,1,0,0,1,0,0,0,0,,,,
Gràcia,65,1,0,0,0,0,0,0,0,1,,,,
Eixample,80,3,1,0,0,1,0,0,0,0,,,,
Sant Andreu,95,4,2,0,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,130,4,2,0,0,0,0,1,0,0,,,,
Eixample,90,3,2,1,0,0,1,0,0,0,,,,
Sant Andreu,72,3,1,1,0,0,0,0,0,0,,,,
Sant Marti,78,3,1,1,0,0,0,0,0,0,,,,
Nou Barris,80,3,1,1,0,0,0,0,0,0,,,,
Ciutat Vella,50,1,1,0,0,0,0,0,1,0,,,,
Nou Barris,75,3,2,1,0,0,0,0,0,0,,,,
Nou Barris,103,4,2,0,0,0,0,0,0,0,,,,
Horta - Guinardó,68,3,1,1,0,1,0,0,0,0,,,,
Ciutat Vella,50,2,1,0,0,0,0,0,0,0,,,,
Sant Marti,80,3,1,0,0,0,0,0,0,1,,,,
Nou Barris,80,3,0,0,0,0,0,0,0,0,,,,
Les Corts,80,3,2,1,0,0,0,0,0,0,,,,
Sant Andreu,125,3,2,0,0,0,0,1,0,0,,,,
Ciutat Vella,35,2,1,0,0,0,0,0,0,0,,,,
Sants - Montjuïc,90,3,2,0,1,1,0,0,0,0,,,,
Gràcia,97,2,1,0,0,1,0,0,0,0,,,,
Gràcia,95,2,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,120,5,2,0,0,0,0,0,0,0,,,,
Eixample,110,1,1,0,0,0,0,0,0,0,,,,
Sant Marti,100,3,2,1,0,0,0,1,0,0,,,,
Horta - Guinardó,50,2,1,0,0,0,0,0,0,0,,,,
Nou Barris,90,3,2,0,0,1,0,1,1,0,,,,
Gràcia,80,3,1,0,0,0,0,1,0,0,,,,
Les Corts,100,5,2,1,0,1,0,0,0,0,,,,
Sant Marti,60,3,1,0,0,0,0,0,0,0,,,,
Sant Andreu,70,3,1,1,0,1,0,0,0,0,,,,
Nou Barris,70,3,1,0,0,0,0,0,0,0,,,,
Gràcia,80,4,1,0,0,0,0,0,0,0,,,,
Gràcia,35,1,0,0,0,0,0,0,0,0,,,,
Nou Barris,60,3,1,0,0,0,0,0,0,0,,,,
Eixample,100,4,2,0,0,0,0,0,0,0,,,,
Sant Andreu,80,4,1,1,0,0,0,0,0,0,,,,
Horta - Guinardó,50,1,1,0,1,0,0,0,0,0,,,,
Nou Barris,65,3,1,1,0,0,0,0,0,0,,,,
Sant Marti,123,4,2,1,0,1,0,0,0,0,,,,
Ciutat Vella,65,3,1,0,0,0,0,0,0,0,,,,
Nou Barris,50,2,1,0,1,1,0,0,0,0,,,,
Ciutat Vella,70,3,1,0,0,0,0,0,0,0,,,,
Ciutat Vella,66,1,1,0,0,0,0,0,0,0,,,,
Gràcia,150,4,2,1,0,0,1,0,0,0,,,,
Sants - Montjuïc,90,4,1,0,0,0,0,0,0,0,,,,
Eixample,80,3,2,0,1,1,0,1,0,0,,,,
Sant Marti,70,3,1,0,0,1,0,0,0,0,,,,
Sant Andreu,95,4,1,0,0,0,0,1,0,0,,,,
Horta - Guinardó,74,3,1,0,0,0,0,0,0,0,,,,
Eixample,40,1,1,0,0,0,0,0,0,0,,,,
Nou Barris,60,3,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,75,3,1,0,0,0,0,0,0,0,,,,
Sant Andreu,80,4,1,1,0,0,0,0,0,0,,,,
Sants - Montjuïc,60,3,1,0,0,0,0,0,0,0,,,,
Sant Andreu,90,4,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,90,3,2,1,1,1,0,0,1,0,,,,
Sants - Montjuïc,80,3,2,0,0,0,0,0,0,0,,,,
Nou Barris,91,4,1,0,0,0,0,0,0,0,,,,
Sant Marti,95,4,1,0,0,0,0,1,0,0,,,,
Sant Marti,60,3,1,0,0,0,0,0,0,0,,,,
Gràcia,115,3,2,1,0,1,0,0,1,0,,,,
Horta - Guinardó,115,5,2,0,0,1,0,0,0,0,,,,
Sants - Montjuïc,95,4,1,1,0,0,0,0,0,0,,,,
Les Corts,90,4,1,1,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,245,3,3,1,0,1,0,0,0,0,,,,
Sant Andreu,80,3,1,1,0,0,0,0,0,0,,,,
Ciutat Vella,45,1,1,0,0,1,0,0,0,0,,,,
Sant Andreu,95,5,2,0,0,0,0,0,0,0,,,,
Sants - Montjuïc,120,4,2,1,0,0,0,0,0,0,,,,
Horta - Guinardó,75,3,1,0,0,0,0,0,0,0,,,,
Eixample,80,3,1,1,0,0,0,1,0,0,,,,
Nou Barris,80,3,1,0,0,0,0,0,0,0,,,,
Nou Barris,70,3,1,0,0,0,0,0,0,0,,,,
Eixample,100,3,1,0,0,0,0,1,0,0,,,,
Eixample,100,4,2,0,0,1,1,0,0,0,,,,
Sants - Montjuïc,95,4,1,1,0,0,0,0,0,0,,,,
Nou Barris,75,3,2,1,0,0,0,0,0,0,,,,
Gràcia,95,3,1,1,0,1,0,0,0,0,,,,
Eixample,56,1,1,0,1,1,0,0,0,0,,,,
Gràcia,97,2,1,0,0,0,0,0,0,1,,,,
Sant Andreu,90,4,1,1,0,0,0,0,0,0,,,,
Sant Marti,80,4,1,1,0,1,0,0,0,0,,,,
Sants - Montjuïc,55,2,1,0,0,1,0,0,0,0,,,,
Gràcia,40,1,0,0,0,0,0,0,0,0,,,,
Sant Andreu,120,4,1,0,0,1,0,0,0,0,,,,
Horta - Guinardó,85,3,1,0,0,1,0,0,0,0,,,,
Sants - Montjuïc,95,3,2,1,0,0,0,1,0,0,,,,
Nou Barris,70,3,1,1,0,0,0,0,0,0,,,,
Gràcia,100,3,1,1,0,0,0,0,0,0,,,,
Sant Marti,75,3,1,0,0,0,0,0,0,0,,,,
Les Corts,90,3,1,1,0,1,0,0,0,0,,,,
Sant Andreu,80,3,2,0,0,1,0,0,0,0,,,,
Nou Barris,60,2,1,0,0,0,0,0,0,0,,,,
Eixample,95,4,2,0,0,0,0,1,0,0,,,,
Sants - Montjuïc,90,4,1,1,0,0,0,0,0,0,,,,
Eixample,120,4,2,0,0,1,1,1,0,0,,,,
Ciutat Vella,40,2,1,1,1,1,0,0,0,0,,,,
Sants - Montjuïc,55,2,1,0,0,0,0,0,0,0,,,,
Sant Marti,98,3,2,0,0,0,0,0,0,0,,,,
Eixample,200,4,4,0,0,1,0,0,0,0,,,,
Horta - Guinardó,80,4,1,1,0,0,1,0,0,0,,,,
Sant Andreu,75,3,1,1,0,1,0,0,0,0,,,,
Nou Barris,100,3,2,0,0,0,0,0,1,0,,,,
Sant Marti,75,3,1,0,0,1,0,0,0,0,,,,
Sant Marti,130,5,2,1,0,0,0,0,0,0,,,,
Sant Andreu,90,3,2,0,0,1,1,0,0,0,,,,
Ciutat Vella,50,1,1,0,0,0,0,0,0,0,,,,
Nou Barris,55,3,1,0,0,0,0,1,0,0,,,,
Ciutat Vella,50,3,1,0,0,0,0,0,0,0,,,,
