week;price;cartel;quantity;seas1;seas2;seas3;seas4;seas5;seas6;seas7;seas8;seas9;seas10;seas11;seas12;ice
172;0.3;1;20085;0;0;0;1;0;0;0;0;0;0;0;0;0
173;0.25;0;18262;0;0;0;0;1;0;0;0;0;0;0;0;0
174;0.25;0;19415;0;0;0;0;1;0;0;0;0;0;0;0;0
175;0.25;1;22792;0;0;0;0;1;0;0;0;0;0;0;0;0
176;0.25;1;23903;0;0;0;0;1;0;0;0;0;0;0;0;0
177;0.25;1;14761;0;0;0;0;0;1;0;0;0;0;0;0;0
178;0.25;1;10901;0;0;0;0;0;1;0;0;0;0;0;0;0
179;0.25;1;14868;0;0;0;0;0;1;0;0;0;0;0;0;0
180;0.25;1;17271;0;0;0;0;0;1;0;0;0;0;0;0;0
181;0.25;1;16179;0;0;0;0;0;0;1;0;0;0;0;0;0
182;0.25;1;15576;0;0;0;0;0;0;1;0;0;0;0;0;0
183;0.25;1;12292;0;0;0;0;0;0;1;0;0;0;0;0;0
184;0.25;1;7627;0;0;0;0;0;0;1;0;0;0;0;0;0
185;0.25;1;9888;0;0;0;0;0;0;0;1;0;0;0;0;0
186;0.25;1;11080;0;0;0;0;0;0;0;1;0;0;0;0;0
187;0.25;1;13782;0;0;0;0;0;0;0;1;0;0;0;0;0
188;0.25;1;15181;0;0;0;0;0;0;0;1;0;0;0;0;0
189;0.25;1;11906;0;0;0;0;0;0;0;0;1;0;0;0;0
190;0.25;1;14763;0;0;0;0;0;0;0;0;1;0;0;0;0
191;0.25;1;22934;0;0;0;0;0;0;0;0;1;0;0;0;0
192;0.25;0;23252;0;0;0;0;0;0;0;0;1;0;0;0;0
193;0.2;0;25164;0;0;0;0;0;0;0;0;0;1;0;0;0
194;0.2;1;33879;0;0;0;0;0;0;0;0;0;1;0;0;0
195;0.25;1;32428;0;0;0;0;0;0;0;0;0;1;0;0;0
196;0.25;1;31256;0;0;0;0;0;0;0;0;0;1;0;0;0
197;0.25;1;27805;0;0;0;0;0;0;0;0;0;0;1;0;0
198;0.25;1;34663;0;0;0;0;0;0;0;0;0;0;1;0;0
199;0.25;1;30187;0;0;0;0;0;0;0;0;0;0;1;0;0
200;0.25;1;27277;0;0;0;0;0;0;0;0;0;0;1;0;0
201;0.25;1;29521;0;0;0;0;0;0;0;0;0;0;0;1;0
202;0.25;1;31280;0;0;0;0;0;0;0;0;0;0;0;1;0
203;0.25;1;30601;0;0;0;0;0;0;0;0;0;0;0;1;0
204;0.25;1;31553;0;0;0;0;0;0;0;0;0;0;0;1;0
205;0.3;1;42735;0;0;0;0;0;0;0;0;0;0;0;0;1
206;0.3;1;28241;0;0;0;0;0;0;0;0;0;0;0;0;1
207;0.3;1;29221;0;0;0;0;0;0;0;0;0;0;0;0;1
208;0.3;1;27894;0;0;0;0;0;0;0;0;0;0;0;0;1
209;0.3;1;21911;1;0;0;0;0;0;0;0;0;0;0;0;1
210;0.3;1;16685;1;0;0;0;0;0;0;0;0;0;0;0;1
211;0.2;1;23504;1;0;0;0;0;0;0;0;0;0;0;0;1
212;0.3;1;41210;1;0;0;0;0;0;0;0;0;0;0;0;1
213;0.3;1;35058;0;1;0;0;0;0;0;0;0;0;0;0;1
214;0.3;1;27065;0;1;0;0;0;0;0;0;0;0;0;0;1
215;0.3;0;29404;0;1;0;0;0;0;0;0;0;0;0;0;1
216;0.3;0;25269;0;1;0;0;0;0;0;0;0;0;0;0;1
217;0.3;0;29219;0;0;1;0;0;0;0;0;0;0;0;0;1
218;0.3;0;29291;0;0;1;0;0;0;0;0;0;0;0;0;1
219;0.3;0;29217;0;0;1;0;0;0;0;0;0;0;0;0;1
220;0.3;0;32643;0;0;1;0;0;0;0;0;0;0;0;0;1
221;0.2;0;37902;0;0;0;1;0;0;0;0;0;0;0;0;1
222;0.15;0;53282;0;0;0;1;0;0;0;0;0;0;0;0;1
223;0.15;0;70793;0;0;0;1;0;0;0;0;0;0;0;0;1
224;0.15;0;76407;0;0;0;1;0;0;0;0;0;0;0;0;1
225;0.15;0;65944;0;0;0;0;1;0;0;0;0;0;0;0;1
226;0.15;0;51242;0;0;0;0;1;0;0;0;0;0;0;0;1
227;0.15;0;42464;0;0;0;0;1;0;0;0;0;0;0;0;0
228;0.15;0;36603;0;0;0;0;1;0;0;0;0;0;0;0;0
229;0.15;0;32376;0;0;0;0;0;1;0;0;0;0;0;0;0
230;0.15;0;37927;0;0;0;0;0;1;0;0;0;0;0;0;0
231;0.15;0;37905;0;0;0;0;0;1;0;0;0;0;0;0;0
232;0.15;0;34782;0;0;0;0;0;1;0;0;0;0;0;0;0
233;0.15;0;43146;0;0;0;0;0;0;1;0;0;0;0;0;0
234;0.15;1;38104;0;0;0;0;0;0;1;0;0;0;0;0;0
235;0.2;1;41901;0;0;0;0;0;0;1;0;0;0;0;0;0
236;0.2;1;25829;0;0;0;0;0;0;1;0;0;0;0;0;0
237;0.2;1;15480;0;0;0;0;0;0;0;1;0;0;0;0;0
238;0.2;1;18461;0;0;0;0;0;0;0;1;0;0;0;0;0
239;0.25;0;20716;0;0;0;0;0;0;0;1;0;0;0;0;0
240;0.25;0;14492;0;0;0;0;0;0;0;1;0;0;0;0;0
241;0.25;0;13004;0;0;0;0;0;0;0;0;1;0;0;0;0
242;0.25;0;16754;0;0;0;0;0;0;0;0;1;0;0;0;0
243;0.25;0;23268;0;0;0;0;0;0;0;0;1;0;0;0;0
244;0.15;0;18972;0;0;0;0;0;0;0;0;1;0;0;0;0
245;0.15;0;15531;0;0;0;0;0;0;0;0;0;1;0;0;0
246;0.15;0;17154;0;0;0;0;0;0;0;0;0;1;0;0;0
247;0.15;0;23416;0;0;0;0;0;0;0;0;0;1;0;0;0
248;0.15;0;26541;0;0;0;0;0;0;0;0;0;1;0;0;0
249;0.15;1;33592;0;0;0;0;0;0;0;0;0;0;1;0;0
250;0.25;1;36235;0;0;0;0;0;0;0;0;0;0;1;0;0
251;0.25;1;22372;0;0;0;0;0;0;0;0;0;0;1;0;0
252;0.25;1;23876;0;0;0;0;0;0;0;0;0;0;1;0;0
253;0.25;1;31600;0;0;0;0;0;0;0;0;0;0;0;1;0
254;0.25;0;31419;0;0;0;0;0;0;0;0;0;0;0;1;0
255;0.25;1;27814;0;0;0;0;0;0;0;0;0;0;0;1;0
256;0.25;1;32530;0;0;0;0;0;0;0;0;0;0;0;1;0
257;0.25;1;33624;0;0;0;0;0;0;0;0;0;0;0;0;0
258;0.25;1;34718;0;0;0;0;0;0;0;0;0;0;0;0;1
259;0.25;1;35812;0;0;0;0;0;0;0;0;0;0;0;0;1
260;0.25;1;26844;0;0;0;0;0;0;0;0;0;0;0;0;1
261;0.25;1;16938;1;0;0;0;0;0;0;0;0;0;0;0;1
262;0.2;1;19362;1;0;0;0;0;0;0;0;0;0;0;0;1
263;0.2;0;29761;1;0;0;0;0;0;0;0;0;0;0;0;1
264;0.2;0;43777;1;0;0;0;0;0;0;0;0;0;0;0;1
265;0.2;0;32995;0;1;0;0;0;0;0;0;0;0;0;0;1
266;0.2;1;50340;0;1;0;0;0;0;0;0;0;0;0;0;1
267;0.25;1;52131;0;1;0;0;0;0;0;0;0;0;0;0;1
268;0.25;1;30913;0;1;0;0;0;0;0;0;0;0;0;0;1
269;0.25;1;22887;0;0;1;0;0;0;0;0;0;0;0;0;1
270;0.25;1;30911;0;0;1;0;0;0;0;0;0;0;0;0;1
271;0.25;0;36354;0;0;1;0;0;0;0;0;0;0;0;0;1
272;0.2;0;38989;0;0;1;0;0;0;0;0;0;0;0;0;1
273;0.2;0;47087;0;0;0;1;0;0;0;0;0;0;0;0;1
274;0.2;0;44805;0;0;0;1;0;0;0;0;0;0;0;0;1
275;0.2;0;46694;0;0;0;1;0;0;0;0;0;0;0;0;1
276;0.2;0;54188;0;0;0;1;0;0;0;0;0;0;0;0;1
277;0.2;0;40650;0;0;0;0;1;0;0;0;0;0;0;0;1
278;0.2;0;34674;0;0;0;0;1;0;0;0;0;0;0;0;1
279;0.2;0;27430;0;0;0;0;1;0;0;0;0;0;0;0;1
280;0.15;0;53360;0;0;0;0;1;0;0;0;0;0;0;0;1
281;0.15;0;43018;0;0;0;0;0;1;0;0;0;0;0;0;0
282;0.15;0;33691;0;0;0;0;0;1;0;0;0;0;0;0;0
283;0.15;0;27424;0;0;0;0;0;1;0;0;0;0;0;0;0
284;0.15;0;30120;0;0;0;0;0;1;0;0;0;0;0;0;0
285;0.15;0;30488;0;0;0;0;0;0;1;0;0;0;0;0;0
286;0.15;0;31223;0;0;0;0;0;0;1;0;0;0;0;0;0
287;0.15;0;21562;0;0;0;0;0;0;1;0;0;0;0;0;0
288;0.15;0;24892;0;0;0;0;0;0;1;0;0;0;0;0;0
289;0.15;0;20864;0;0;0;0;0;0;0;1;0;0;0;0;0
290;0.15;0;19128;0;0;0;0;0;0;0;1;0;0;0;0;0
291;0.2;0;9778;0;0;0;0;0;0;0;1;0;0;0;0;0
292;0.2;0;7528;0;0;0;0;0;0;0;1;0;0;0;0;0
293;0.2;0;15773;0;0;0;0;0;0;0;0;1;0;0;0;0
294;0.15;0;10737;0;0;0;0;0;0;0;0;1;0;0;0;0
295;0.15;0;20881;0;0;0;0;0;0;0;0;1;0;0;0;0
296;0.15;0;20970;0;0;0;0;0;0;0;0;1;0;0;0;0
297;0.15;0;22835;0;0;0;0;0;0;0;0;0;1;0;0;0
298;0.15;0;30986;0;0;0;0;0;0;0;0;0;1;0;0;0
299;0.15;0;35308;0;0;0;0;0;0;0;0;0;1;0;0;0
300;0.15;0;40034;0;0;0;0;0;0;0;0;0;1;0;0;0
301;0.15;0;44776;0;0;0;0;0;0;0;0;0;0;1;0;0
302;0.2;0;36288;0;0;0;0;0;0;0;0;0;0;1;0;0
303;0.2;0;27158;0;0;0;0;0;0;0;0;0;0;1;0;0
304;0.2;0;14622;0;0;0;0;0;0;0;0;0;0;1;0;0
305;0.2;0;15259;0;0;0;0;0;0;0;0;0;0;0;1;0
306;0.2;0;14680;0;0;0;0;0;0;0;0;0;0;0;1;0
307;0.2;0;15114;0;0;0;0;0;0;0;0;0;0;0;1;0
308;0.2;1;17686;0;0;0;0;0;0;0;0;0;0;0;1;0
309;0.2;1;36336;0;0;0;0;0;0;0;0;0;0;0;0;0
310;0.2;1;22569;0;0;0;0;0;0;0;0;0;0;0;0;1
311;0.2;1;23342;0;0;0;0;0;0;0;0;0;0;0;0;1
312;0.2;1;21269;0;0;0;0;0;0;0;0;0;0;0;0;1
313;0.2;1;18340;1;0;0;0;0;0;0;0;0;0;0;0;1
314;0.25;1;19440;1;0;0;0;0;0;0;0;0;0;0;0;1
315;0.25;0;17056;1;0;0;0;0;0;0;0;0;0;0;0;1
316;0.25;0;10713;1;0;0;0;0;0;0;0;0;0;0;0;1
317;0.25;0;12836;0;1;0;0;0;0;0;0;0;0;0;0;1
318;0.25;0;12344;0;1;0;0;0;0;0;0;0;0;0;0;1
319;0.25;0;17868;0;1;0;0;0;0;0;0;0;0;0;0;1
320;0.25;0;22789;0;1;0;0;0;0;0;0;0;0;0;0;1
321;0.25;0;34851;0;0;1;0;0;0;0;0;0;0;0;0;1
322;0.25;0;29997;0;0;1;0;0;0;0;0;0;0;0;0;1
323;0.25;0;34010;0;0;1;0;0;0;0;0;0;0;0;0;1
324;0.25;1;19686;0;0;1;0;0;0;0;0;0;0;0;0;1
325;0.25;1;14757;0;0;0;1;0;0;0;0;0;0;0;0;1
326;0.25;1;16502;0;0;0;1;0;0;0;0;0;0;0;0;1
327;0.25;1;11490;0;0;0;1;0;0;0;0;0;0;0;0;1
328;0.25;1;7843;0;0;0;1;0;0;0;0;0;0;0;0;1
